BindingDB MonomerID,Ligand SMILES,IC50 (nM)
300726,COCCN(C)C(=O)c1cc([nH]n1)C(=O)NC(CC(CO)C(O)=O)Cc1ccccc1,
300727,OCC(CC(Cc1ccccc1)NC(=O)c1cc(n[nH]1)C(=O)NC1CC1)C(O)=O,
300730,OCC(CC(Cc1ccccc1)NC(=O)c1cc(n[nH]1)C(=O)N1CCOCC1)C(O)=O,
300736,OCC(CC(Cc1ccccc1)NC(=O)c1cc(Cl)c2nn[nH]c2c1)C(O)=O,
298287,CC(C)OC(=O)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1cccc(Cl)c1,
298289,CC(C)COC(=O)[C@H](O)C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)C(O)=O,
50115840,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CS)[C@H]1CCc2cc(Br)ccc12,
298285,O[C@H](C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)C(O)=O)C(O)=O,
50251742,CC(C)C[C@H](NP(O)(=O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,
50287695,COC(=O)[C@H](Cc1ccccc1)NC(=O)C1(CS)CCc2ccccc2C1,
50083376,CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H]([NH3+])CCC([O-])=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,
50115839,OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)C1CCc2cc(O)ccc12,
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1,
50269062,OC(=O)[C@H](CC(=O)C1(S)CCCCC1)Cc1ccc(cc1)-c1ccccc1,
21640,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(CS)C1CCCc2ccccc12,
50269087,OC(=O)C(CC(=O)C1(S)CCCCC1)Cc1ccc(cc1)-c1ccsc1,
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1,
21636,CC(C(CS)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)c1ccc(cc1)-c1ccccc1,
50288076,OC(=O)CNC(=O)C(\CS)=C/c1ccccc1,
50087095,C[C@@H]([NH3+])P(O)(=O)C[C@@H](Cc1ccc(Br)cc1)C(=O)N[C@@H](C)C(O)=O,
21647,C[C@@H]([C@@H](CS)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)c1ccccc1,
50287701,OC(=O)[C@@H]1CCCC2N1C(=O)[C@H](Cc1ccccc21)NC(=O)CS,
21651,C[C@@H]([C@@H](CS)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)c1ccc(cc1)-c1ccccc1,
50115845,OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)C1CCc2cc(Br)ccc12,
50115841,COc1ccc2C(CCc2c1)C(CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O,
50044869,OC(=O)[C@H]1CCCC2N1C(=O)[C@@H](Cc1ccccc21)NC(=O)CS,
50614464,OC(=O)[C@@H]1CCC[C@H]2N1C(=O)[C@H](Cc1ccccc21)NC(=O)CS,
50407298,C[C@@H]([C@@H](CS)C(=O)N[C@@H](Cc1ccccc1)C(O)=O)c1ccccc1,
50083382,CC[C@@H](C)[C@H](NC(=O)[C@H](S)[C@H]([NH3+])CCP(O)([O-])=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,
21637,CC(C(CS)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)c1ccc2ccccc2c1,
50411728,OC(=O)[C@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)[C@@H](S)C1CCC1,
50024102,OC(=O)CNC(=O)[C@@H](CS)Cc1ccccc1,
50084628,C[C@H](NC(=O)[C@@H](CSC(O)=O)Cc1ccc2OCOc2c1)C(=O)OCc1ccccc1,
50115849,CSc1ccc2C(CCc2c1)C(CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O,
50034842,C[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)CCC(O)=O)C(O)=O,
582724,C[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)C(O)=O)C(O)=O,
582843,OC[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)CC(O)=O)C(O)=O,
298328,C[C@H](C[C@H](NC(=O)CCC(O)=O)c1ccc(cc1)-c1ccccc1)C(O)=O,
298327,C[C@H](C[C@H](NC(=O)C(O)=O)c1ccc(cc1)-c1ccccc1)C(O)=O,
299393,OC(=O)[C@H](CNC(=O)CCCNBC=O)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1cnn[nH]1,
300329,CCOc1nc(co1)C(=O)N[C@@H](C[C@@H](N)C(O)=O)Cc1ccc(cc1)-c1cc(Cl)ccc1F,
300331,CCCc1nc(co1)C(=O)N[C@@H](C[C@@H](N)C(O)=O)Cc1ccc(cc1)-c1cc(Cl)ccc1F,
300332,N[C@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1ccc(Cl)cn1)C(O)=O,
300333,N[C@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1ccns1)C(O)=O,
300337,CCOC(=O)[C@H](N)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1cc(O)no1,
300340,N[C@@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1noc(=O)[nH]1)C(O)=O,
300346,CS(=O)(=O)N[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1c[nH]nn1)C(O)=O,
300356,Cc1cc(sn1)C(=O)N[C@@H](C[C@@H](CC#N)C(O)=O)Cc1ccc(cc1)-c1cc(Cl)ccc1F,
300250,OC(=O)[C@@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1cnn[nH]1)NC(=O)[C@@H]1CCCN1,
300252,CC(C)c1coc(n1)C(=O)N[C@@H](C[C@H](N)C(O)=O)Cc1ccc(cc1Cl)-c1cc(Cl)ccc1F,
300259,OC(=O)[C@@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cnn[nH]1)C1CCOCC1,
300261,Cc1cnc(o1)C(=O)N[C@@H](C[C@H](N)C(O)=O)Cc1ccc(cc1Cl)-c1cc(Cl)ccc1F,
300265,CC(=O)N1CCC(CC1)[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cnn[nH]1)C(O)=O,
300274,N[C@H](C[C@@H](Cc1ccc(cc1Cl)-c1cc(Cl)ccc1F)NC(=O)c1cc(on1)C1CC1)C(O)=O,
300280,COc1cnc(o1)C(=O)N[C@@H](C[C@H](N)C(O)=O)Cc1ccc(cc1Cl)-c1cc(Cl)ccc1F,
300300,CC(C)c1coc(n1)C(=O)N[C@@H](C[C@@H](CCN)C(O)=O)Cc1ccc(cc1)-c1cc(Cl)ccc1F,
300306,CCC(=O)N[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1c[nH]nn1)C(O)=O,
299622,CCOC(=O)C(C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O)c1cccnc1,
299658,CC(C)[C@@H](N)C(=O)N[C@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1nc(co1)C(C)C)C(O)=O,
299653,CC(C)c1coc(n1)C(=O)N[C@@H](C[C@@H](NC(=O)C(C)(C)N)C(O)=O)Cc1ccc(cc1)-c1cc(Cl)ccc1F,
299650,CB(O)NCC(=O)N[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1F)NC(=O)c1c[nH]nn1)C(O)=O,
299631,CCOC(=O)[C@H](O)C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1c[nH]nn1,
